Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,rel_flux_SNR_C7,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,N_Src_Pixels_C2,N_Sky_Pixels_C2,N_Src_Pixels_C3,N_Sky_Pixels_C3,N_Src_Pixels_C4,N_Sky_Pixels_C4,N_Src_Pixels_C5,N_Sky_Pixels_C5,N_Src_Pixels_C6,N_Sky_Pixels_C6,N_Src_Pixels_C7,N_Sky_Pixels_C7
HATP22B-0001_C.fit,1,0,60037.55712,2460037.557,2460037.557,2460037.56,2460037.561,1.030846677,75.92772151,-29.9375,60,10.38305556,50.16638889,30.6756398,38,66,99,4.2989701,0.230986687,0.162596707,0.277133944,0.13689566,0.174744963,0.229014556,0.01457975,0.001899521,0.001687908,0.00207739,0.001624333,0.001724624,0.00189041,294.8589823,121.6026198,96.33034059,133.404867,84.27805537,101.3235086,121.1454303,1097047.613,3683.371359,2037.050253,1006.189027,2037.550253,1041.310973,4716174.885,4536.459792,2256.532457,2090.009772,8647.673828,1039.615714,501.0387329,14577,30.24773775,32.11102807,33.0556732,31.16638293,341.0422106,0.994447674,2222.434332,1591.004944,2222.934332,456.4950556,205853.8863,1504.177882,136.8547488,904.593811,45.37765035,498.0067315,29.95624558,31.83207259,32.50180781,31.16233737,349.4364127,0.997966749,2492.29203,772.3296672,2492.79203,1275.170333,153429.2399,1495.755679,102.5764048,788.5122681,33.82136004,501.3576885,30.74950592,32.17908048,33.25748059,31.10068038,332.6693953,0.986602432,2981.849115,587.0540867,2982.349115,1460.445913,238055.7912,1523.324649,156.2738391,889.4400024,52.4761162,503.0740762,31.52043648,33.5306032,34.11974842,32.94145798,12.43965069,0.998500482,2430.996637,155.8473553,2431.496637,1891.652645,132097.4844,1498.183359,88.17177395,744.302063,29.11906872,504.627245,30.91513808,32.49991178,33.34025872,31.65956484,27.53352389,0.991854774,2736.507592,1583.291016,2737.007592,464.2089835,163187.3731,1499.420904,108.8335988,809.1732178,35.97240593,500.3401408,29.88620949,32.84962908,33.44803693,32.25122122,343.2376715,0.998091291,149.7318893,883.1671798,150.2318893,1164.33282,204423.8377,1501.350727,136.1599485,828.7301636,45.06241587,498.5839213,31.4542053,33.17327085,34.42272874,31.92381296,351.8522871,0.993858015,4536.459792,14553,4536.459792,14696,4536.459792,14032,4536.459792,14455,4536.459792,14448,4536.459792,14838
HATP22B-0002_C.fit,2,0,60037.55796,2460037.558,2460037.558,2460037.561,2460037.561,1.030072423,76.10108823,-29.96875,60,10.38305556,50.16833333,28.56213713,38,66,99,4.268115233,0.230119282,0.16507489,0.278609293,0.137907129,0.170606271,0.229116536,0.014324628,0.001875381,0.001678457,0.002059229,0.001606964,0.001695886,0.001873992,297.9564445,122.7053296,98.34919588,135.2978358,85.81842751,100.6000592,122.2611909,1108646.866,3683.081469,2038.629037,1002.065281,2039.129037,1045.434719,4731832.577,4536.459792,2256.56371,2096.919558,10409.30176,1043.067236,499.8910169,14733,28.5104192,32.04943069,33.16681691,30.93204446,336.0339006,0.989195396,2224.094577,1587.064057,2224.594577,460.4359432,207395.3512,1502.656387,138.0191459,962.2702637,45.71744503,497.0207854,28.47652862,31.83365763,33.11504041,30.55227485,340.5334887,0.989323914,2493.92341,768.41626,2494.42341,1279.08374,157079.825,1497.462366,104.8973441,853.5715332,34.62608119,500.443702,25.9417293,32.81002245,34.21469044,31.40535446,344.0616934,0.989870296,2983.400584,583.1006756,2983.900584,1464.399324,241574.4367,1521.422268,158.7819777,952.414978,53.25175308,502.1908429,29.88675548,33.72333006,35.2616912,32.18496892,351.4877358,0.990933676,2432.79555,151.5109825,2433.29555,1895.989017,134360.9709,1495.249466,89.85856472,803.3012085,29.6180231,503.4981995,28.35974036,32.35773351,34.45064876,30.26481827,3.075447608,0.983212128,2738.199563,1579.654964,2738.699563,467.8450364,161576.1955,1500.100419,107.7102529,853.8139038,35.61724405,499.7827177,28.85433387,32.29486432,33.11044438,31.47928426,333.4710076,0.992946346,151.4881792,878.9240758,151.9881792,1168.575924,206660.0867,1504.633311,137.349137,914.4199219,45.55536612,498.0708227,29.90545311,33.07691012,34.47823716,31.67558309,333.3403573,0.979952225,4536.459792,14607,4536.459792,14517,4536.459792,14157,4536.459792,14625,4536.459792,14305,4536.459792,14535
HATP22B-0003_C.fit,3,0,60037.5588,2460037.559,2460037.558,2460037.561,2460037.562,1.029310736,76.27399392,-29.9375,60,10.38305556,50.16722222,28.46045395,38,66,99,4.313484429,0.231862114,0.163307991,0.282610809,0.137570564,0.170231904,0.226473637,0.014468425,0.00188028,0.001672943,0.002074534,0.001607087,0.00169132,0.001863714,298.1308931,123.3125174,97.61718511,136.2285679,85.60245047,100.6503247,121.5173877,1106826.48,3675.27443,2037.648279,1006.319666,2038.148279,1041.180334,4774278.785,4536.459792,2263.659425,2109.097655,9992.592773,1052.423917,498.4521442,14420,27.85022225,31.92009817,32.97835854,30.8618378,334.394477,0.98882147,2223.259457,1591.112835,2223.759457,456.3871646,208327.8023,1499.633834,138.9191132,954.0479736,45.92299103,495.4975017,28.11118379,31.39128575,32.36726012,30.41531137,337.4358939,0.99224722,2492.604749,772.5055631,2493.104749,1274.994437,155378.9798,1494.279777,103.982522,832.317749,34.2511533,498.9672595,27.60178987,31.77640557,32.49869203,31.0541191,335.3139581,0.9951307,2982.584354,587.1009313,2983.084354,1460.399069,243878.4428,1520.056886,160.4403394,935.185791,53.75963945,500.5981061,28.38332848,33.81531495,34.76386295,32.86676695,341.3767333,0.99504093,2431.552332,155.9044399,2432.052332,1891.59556,133852.5699,1493.856012,89.60205589,787.1678467,29.50595311,502.3032181,29.85405523,31.84251349,33.87439989,29.81062708,356.6383511,0.983620206,2736.792294,1583.56305,2737.292294,463.93695,161008.4108,1494.064996,107.7653323,859.9197998,35.49208373,498.4694374,28.476155,32.01475446,33.47348266,30.55602626,334.4925172,0.97910494,150.4446325,883.1807948,150.9446325,1164.319205,204380.2741,1500.486424,136.2093457,908.5932007,45.05281288,496.8432341,28.94644306,32.26351232,33.91167404,30.6153506,341.103042,0.983370604,4536.459792,14724,4536.459792,14602,4536.459792,14147,4536.459792,14608,4536.459792,14669,4536.459792,14723
HATP22B-0004_C.fit,4,0,60037.55964,2460037.56,2460037.559,2460037.562,2460037.563,1.028570604,76.44432798,-29.96875,60,10.38305556,50.16944444,29.17664389,38,66,99,4.34574596,0.232685247,0.16598725,0.27460009,0.138643422,0.167637654,0.231689935,0.014721186,0.001900074,0.001696776,0.002065818,0.00162609,0.001703753,0.00189942,295.20352,122.4611509,97.82507659,132.925602,85.2618561,98.39314947,121.9793241,1096641.801,3678.213256,2038.101584,1005.813342,2038.601584,1041.686658,4765726.675,4536.459792,2262.225725,2106.653913,9579.111328,1050.538723,498.6676199,14475,28.64724594,32.3067413,33.46355731,31.1499253,337.8038799,0.989981496,2223.706739,1590.619174,2224.206739,456.8808256,207005.2908,1498.8303,138.1112263,945.9030151,45.6314616,495.7257405,27.57632541,31.84000159,32.87802386,30.80197933,343.2847325,0.993908907,2493.021613,772.0221208,2493.521613,1275.477879,156115.3923,1495.198386,104.4111562,827.1878052,34.41348529,499.0484476,29.55052052,32.28680995,33.90583232,30.66778757,348.7283703,0.988267912,2982.802463,586.935705,2983.302463,1460.564295,236260.7215,1520.980755,155.3344582,933.2067261,52.08041784,501.7021333,31.05767138,33.05626312,33.4077783,32.70474793,336.2817679,0.999011616,2431.851129,155.2864912,2432.351129,1892.213509,133529.2237,1495.194276,89.30560119,785.9988403,29.43467591,503.3119133,28.88243972,31.99985495,33.1556302,30.84407971,11.5070073,0.993856492,2737.638661,1583.142877,2738.138661,464.357123,157444.7844,1497.782154,105.1186143,822.9781494,34.70653145,499.392829,28.54461518,31.77025342,33.49967436,30.04083248,342.5544771,0.982486747,150.9388123,882.7071666,151.4388123,1164.792833,206286.3881,1501.599985,137.3777239,904.5388184,45.47298941,497.2581606,29.97768907,33.50665863,34.96028146,32.0530358,341.4809831,0.988229212,4536.459792,14796,4536.459792,14545,4536.459792,14055,4536.459792,14595,4536.459792,14386,4536.459792,14705
HATP22B-0005_C.fit,5,0,60037.56048,2460037.56,2460037.56,2460037.563,2460037.564,1.027839453,76.61492799,-29.9375,60,10.38305556,50.16888889,29.54897073,38,66,99,4.281038785,0.230610642,0.165048557,0.276072861,0.137102164,0.17288141,0.22944055,0.014302499,0.001866359,0.001672211,0.002043558,0.001597637,0.001690396,0.001867959,299.3210271,123.5617818,98.70081248,135.0941987,85.81557433,102.2727111,122.8295745,1113927.916,3683.740626,2039.22747,1004.308412,2039.72747,1043.191588,4768768.613,4536.459792,2264.238421,2106.124765,9262.025391,1051.209276,500.6700462,14482,29.41335315,31.69175095,32.57407932,30.80942258,333.2805278,0.991275705,2224.702863,1589.068363,2225.202863,458.4316373,208744.8482,1500.722134,139.0962681,932.7468262,46.01492304,497.5253976,29.19593861,31.71671365,31.93741381,31.4960135,325.9983766,0.998619559,2494.518507,770.6831174,2495.018507,1276.816883,157806.4658,1499.284123,105.2545434,819.5800171,34.78625912,501.0277397,29.24184559,31.62458254,33.00870847,30.2404566,340.3440062,0.987248962,2983.990303,585.3922122,2984.490303,1462.107788,240993.5012,1524.874755,158.041505,905.5689697,53.12369386,502.8090625,30.32960028,33.44255489,34.2688132,32.61629657,348.2545164,0.997100603,2433.20604,153.703161,2433.70604,1893.796839,134308.0092,1495.470133,89.80989069,759.4970093,29.60634842,505.3942753,30.66439052,31.84167183,34.22165976,29.4616839,358.5282369,0.977842261,2738.907557,1581.278876,2739.407557,466.2211242,164191.7308,1496.242054,109.7360754,818.1959229,36.19380274,500.6548546,27.82056524,32.38101195,34.20349598,30.55852792,342.7539164,0.981465089,151.9992999,881.3682886,152.4992999,1166.131711,207883.3612,1506.489621,137.9918974,894.1112061,45.82502011,498.6116744,30.17710175,32.64122151,34.03259674,31.24984628,346.2039541,0.99078046,4536.459792,14858,4536.459792,14437,4536.459792,13930,4536.459792,14809,4536.459792,14774,4536.459792,14455
HATP22B-0006_C.fit,6,0,60037.56132,2460037.561,2460037.561,2460037.564,2460037.565,1.027124743,76.78402002,-29.96875,60,10.38305556,50.16916667,28.94162261,38,66,99,4.31742995,0.230154373,0.162662184,0.28021571,0.140638015,0.166588072,0.231561153,0.01454095,0.001883422,0.001676875,0.002071404,0.00162205,0.001688207,0.001891318,296.915268,122.2001251,97.00316249,135.2781829,86.70388872,98.67752922,122.4337475,1107617.017,3693.322029,2037.571991,1005.621701,2038.071991,1041.878299,4782058.884,4536.459792,2265.579918,2110.743852,10303.21484,1054.138933,501.9018992,14677,28.32054581,31.41821785,32.17649306,30.65994265,333.1758774,0.993376082,2222.996274,1590.612421,2223.496274,456.8875791,207228.3822,1507.864897,137.4316642,969.2072144,45.68063902,500.0149845,29.06283676,30.85182293,31.55885215,30.14479372,334.130116,0.994527231,2492.786987,771.7999979,2493.286987,1275.700002,154961.0933,1500.196433,103.2938687,832.4818115,34.15903599,503.3430266,28.5065733,31.45619231,32.66994201,30.24244262,344.9507578,0.992067389,2982.461525,586.5030821,2982.961525,1460.996918,242437.0254,1524.169381,159.0617345,962.8260498,53.44189887,504.9454067,29.6500758,33.24601388,33.73490732,32.75712043,349.1561692,0.998998637,2431.741195,155.2242863,2432.241195,1892.275714,136566.6031,1501.909598,90.92864396,888.6821289,30.10422431,506.7820956,28.16911353,32.20245887,33.83960068,30.56531705,1.912850288,0.989668815,2737.140101,1582.875813,2737.640101,464.6241874,158167.0413,1501.054722,105.3706031,863.015625,34.86574301,502.9465983,28.73883984,31.47201697,33.06388225,29.88015169,341.6170557,0.984134863,150.4561315,882.5684682,150.9561315,1164.931532,208256.8721,1511.420426,137.7888432,892.2575684,45.90735544,500.7096605,30.14337324,32.26136288,33.50487509,31.01785067,338.1890663,0.988693253,4536.459792,14474,4536.459792,14553,4536.459792,14224,4536.459792,14445,4536.459792,14495,4536.459792,14265
HATP22B-0007_C.fit,7,0,60037.56217,2460037.562,2460037.562,2460037.565,2460037.566,1.026420056,76.95308219,-29.96875,60,10.38305556,50.16944444,28.88044939,38,66,99,4.310029403,0.227950009,0.162228293,0.27920405,0.14122944,0.170594029,0.230061901,0.014509393,0.001874211,0.001674218,0.002067284,0.001622736,0.001700102,0.001884761,297.0509707,121.624494,96.89795991,135.0584041,87.03165981,100.3434057,122.0642352,1108945.793,3695.896889,2036.217029,1005.125617,2036.717029,1042.374383,4779588.975,4536.459792,2268.425001,2107.007714,10514.43262,1053.594475,504.1695945,14505,27.64577231,31.87770228,32.93244418,30.82296037,334.9856888,0.989412087,2221.623178,1589.865446,2222.123178,457.6345541,205858.7088,1507.699472,136.5382907,941.4782104,45.37871342,502.1571812,28.32221055,31.03428347,31.9162304,30.15233655,333.8768855,0.991396498,2491.461512,771.8013227,2491.961512,1275.698677,154790.917,1500.550702,103.1560725,838.0709839,34.12152298,505.251729,28.1537446,32.17034065,33.50492544,30.83575585,342.9488069,0.989994288,2980.968968,585.9434045,2981.468968,1461.556595,242042.8207,1525.916376,158.6212879,977.2511597,53.35500188,506.8411004,30.49397107,33.3316413,34.3951299,32.26815271,345.6734241,0.994722891,2429.829909,154.6099507,2430.329909,1892.890049,137234.2737,1502.998138,91.30701514,790.6596069,30.25140308,509.1646397,29.3531527,32.61102856,33.35210017,31.86995695,350.5256206,0.997693276,2735.633753,1582.20172,2736.133753,465.2982798,161609.8548,1504.073546,107.4481066,870.5693359,35.62466378,504.9772351,28.79096411,32.37681478,33.4798579,31.27377165,339.9761642,0.992095614,148.8188204,881.9589773,149.3188204,1165.541023,207409.218,1511.68194,137.2042706,908.3364258,45.72050178,502.9173053,29.40333041,32.6916334,33.85386635,31.52940045,338.040303,0.990280824,4536.459792,14692,4536.459792,14723,4536.459792,14265,4536.459792,14614,4536.459792,14513,4536.459792,14457
HATP22B-0008_C.fit,8,0,60037.56301,2460037.563,2460037.563,2460037.566,2460037.566,1.025724603,77.12229894,-29.96875,60,10.38277778,50.17,28.80910726,38,66,99,4.284452112,0.229952238,0.162981737,0.278135243,0.137998021,0.169464914,0.233222503,0.01436567,0.001875625,0.001667762,0.002056757,0.001605889,0.001689634,0.001886909,298.2424142,122.6003345,97.72482886,135.2299937,85.93245862,100.2968364,123.6002769,1113388.623,3695.498852,2038.329754,1003.546061,2038.829754,1043.953939,4770260.238,4536.459792,2266.394968,2104.778869,10427.28223,1051.538084,503.576027,14538,27.92264274,31.78939285,32.62196106,30.95682464,333.2595748,0.992263007,2223.904939,1588.464465,2224.404939,459.0355353,208159.4696,1510.381309,137.8191509,977.3464355,45.88588439,500.911986,27.23085911,31.45696082,32.32790357,30.58601808,334.1431282,0.992025008,2493.2224,770.0288272,2493.7224,1277.471173,156031.6952,1498.72318,104.1097498,856.8051147,34.39503542,504.8986327,29.19494017,32.06579453,33.17117171,30.96041734,339.5541638,0.991701858,2982.950929,584.4428759,2983.450929,1463.057124,242284.7009,1527.77555,158.5865809,976.1022949,53.40832102,506.1308347,30.98293155,33.44406063,33.80192428,33.08619698,332.9920895,0.998673673,2432.279466,152.9132033,2432.779466,1894.586797,135013.791,1500.450518,89.98216825,812.5026855,29.76192829,508.7926823,28.6057896,31.91440943,33.73434393,30.09447494,10.82081631,0.98504209,2737.84498,1580.800885,2738.34498,466.6991149,161339.0061,1503.448703,107.3126111,855.6591187,35.56495891,503.7336109,27.9888587,32.37804938,33.88097941,30.87511935,342.8687772,0.98743637,151.4165579,880.690539,151.9165579,1166.809461,210559.9604,1511.119122,139.3404116,901.6682129,46.4150395,502.2273098,29.73772896,33.29740057,34.79133857,31.80346256,345.7650161,0.989621999,4536.459792,14371,4536.459792,14868,4536.459792,14046,4536.459792,14754,4536.459792,14431,4536.459792,14488
HATP22B-0009_C.fit,9,0,60037.56385,2460037.564,2460037.564,2460037.566,2460037.567,1.025063587,77.28540497,-29.9375,60,10.38305556,50.17083333,27.86891188,38,66,99,4.299529125,0.230543486,0.160825028,0.280481042,0.140751012,0.170164854,0.228890363,0.014474576,0.001880476,0.001670384,0.002076568,0.001621911,0.001695034,0.001882212,297.040068,122.5984471,96.2802967,135.0694945,86.78098609,100.3902512,121.6071312,1110147.093,3700.032339,2039.923885,1005.924222,2040.423885,1041.575778,4773109.762,4536.459792,2265.555337,2106.816675,10967.74414,1052.166222,505.8775596,14949,27.76206319,31.73659604,32.81998408,30.653208,336.5269516,0.990021767,2225.52339,1590.728106,2226.02339,456.7718936,207987.1077,1507.034281,138.010867,965.8591919,45.84788959,502.5643612,27.6696253,31.50561624,32.15280603,30.85842644,334.7319055,0.995825295,2495.136886,772.0820339,2495.636886,1275.417966,153803.9181,1502.044885,102.3963529,835.3398438,33.90395268,506.5437963,27.79007924,31.42419517,32.94087587,29.90751446,340.0259492,0.984219111,2984.721225,586.4201399,2985.221225,1461.07986,243170.4988,1532.64458,158.660724,984.4134521,53.60358296,508.5508344,28.07575291,33.26187094,34.06348834,32.46025354,337.669465,0.995413106,2433.699227,155.0363586,2434.199227,1892.463641,136974.9626,1504.990875,91.01381604,798.5351563,30.19424153,510.4786368,27.01760146,32.4049233,34.31403958,30.49580701,0.050760353,0.986212213,2739.130493,1583.125658,2739.630493,464.3743416,161437.0982,1501.614665,107.5090048,880.5552979,35.58658197,505.4008576,28.16120211,32.34939726,34.00082262,30.6979719,342.2478082,0.984351951,152.7498049,882.7734146,153.2498049,1164.726585,206773.508,1514.630186,136.5174879,914.8821411,45.58036829,504.5703641,28.60605895,32.62760767,34.28768297,30.96753237,340.3374672,0.98278496,4536.459792,14834,4536.459792,14714,4536.459792,13909,4536.459792,14578,4536.459792,14767,4536.459792,14369
HATP22B-0010_C.fit,10,0,60037.56469,2460037.565,2460037.564,2460037.567,2460037.568,1.024394581,77.45282351,-29.9375,60,10.38277778,50.17027778,27.91680785,38,66,99,4.299707504,0.229631338,0.161958784,0.277376481,0.141944103,0.171414395,0.228638034,0.01457044,0.001894865,0.001683867,0.002075541,0.001634901,0.001712254,0.001891326,295.0979821,121.1861104,96.18264315,133.6405962,86.82123289,100.1103569,120.8876929,1109038.613,3720.836806,2037.07117,1007.695316,2037.57117,1039.804684,4768541.644,4536.459792,2273.060429,2097.850802,10645.45801,1051.159244,512.8026237,14622,27.36705114,31.59467165,32.79258588,30.39675741,340.5729796,0.990545389,2222.652667,1592.495547,2223.152667,455.004453,207110.8736,1520.757655,136.1892691,981.9346313,45.65473588,510.5202236,26.16593662,31.20985042,31.97501034,30.44469049,339.8948625,0.995882477,2491.937061,774.0266041,2492.437061,1273.473396,154582.5439,1509.854892,102.3823843,852.8831177,34.07558999,514.1197507,28.9016622,32.01188511,33.84721951,30.17655072,346.7843439,0.983710164,2981.855157,588.4799007,2982.355157,1459.020099,240822.6799,1537.521178,156.6304799,985.3787231,53.08603867,516.0863838,28.5266358,32.99520907,33.72681879,32.26359934,346.0098528,0.997480806,2430.881825,157.3942369,2431.381825,1890.105763,137853.9375,1512.692771,91.13148429,807.3845825,30.38799942,517.7327235,28.71892874,32.5066788,33.94286735,31.07049025,4.504483657,0.99202693,2736.838427,1585.014035,2737.338427,462.4859651,162286.8762,1512.726877,107.2810159,874.7924194,35.7739038,513.5313329,27.48725095,32.34972429,34.25091588,30.44853271,348.034279,0.983576965,149.8971597,884.9106366,150.3971597,1162.589363,206381.7015,1520.430038,135.7390319,944.2113037,45.49399993,512.0222621,28.25018949,32.41569443,34.36752969,30.46385918,352.2532107,0.984495984,4536.459792,14474,4536.459792,14860,4536.459792,14218,4536.459792,14698,4536.459792,14686,4536.459792,14646
HATP22B-0011_C.fit,11,0,60037.56553,2460037.566,2460037.565,2460037.568,2460037.569,1.023763891,77.61289581,-29.96875,60,10.38305556,50.17222222,27.43186423,38,66,99,4.286280709,0.231963515,0.160830605,0.28109156,0.138238633,0.169954404,0.230062793,0.015410163,0.002016438,0.001786229,0.002216038,0.001726298,0.001812798,0.002014008,278.1463652,115.0362978,90.03916591,126.8442126,80.0780875,93.75253324,114.2313186,1072950.586,3820.712218,2038.277288,1006.137958,2038.777288,1041.362042,4598967.398,4536.459792,2278.155752,2018.723871,10529.40137,1013.77894,547.5741388,14622,27.23838461,31.47208173,32.63228214,30.31188133,338.8952602,0.9901186,2223.912571,1590.842185,2224.412571,456.6578146,202023.3446,1558.648636,129.6144237,1021.412659,44.53326027,544.3148593,26.81546653,31.0107794,31.698918,30.32264081,331.9294858,0.993661104,2493.386329,772.6347986,2493.886329,1274.865201,148655.0157,1552.601728,95.74574921,877.9940186,32.76894814,548.9738548,26.43547894,31.07100274,32.77365208,29.3683534,345.4953298,0.984388828,2982.962697,587.1085304,2983.462697,1460.39147,235422.1694,1577.300768,149.2563588,1005.518921,51.89557061,549.5322201,28.32467918,33.37943998,34.34833437,32.4105456,347.5483654,0.995910318,2432.307586,155.522476,2432.807586,1891.977524,130309.4257,1554.100913,83.84875437,822.4429321,28.72491584,553.2998244,27.49910111,32.06485659,33.31006506,30.81964812,23.069261,0.987473957,2737.88746,1583.299742,2738.38746,464.2002583,155863.0632,1553.030246,100.3606102,906.7151489,34.35786282,548.1482337,26.0571884,31.78720007,33.29080967,30.28359046,339.3639854,0.984226551,150.8570226,883.424932,151.3570226,1164.075068,200677.5673,1562.96956,128.3950579,965.1873779,44.23660221,546.964522,29.65275081,32.42264496,34.03474718,30.81054274,346.8674754,0.987763578,4536.459792,14633,4536.459792,14707,4536.459792,14163,4536.459792,14705,4536.459792,14710,4536.459792,14514
HATP22B-0012_C.fit,12,0,60037.56637,2460037.566,2460037.566,2460037.569,2460037.57,1.023124337,77.77753031,-29.96875,60,10.38277778,50.17166667,27.57339673,38,66,99,4.28408204,0.230412658,0.160606967,0.276485332,0.138467953,0.173397795,0.232064246,0.014340477,0.001871901,0.001661286,0.002049951,0.001606144,0.001696471,0.001876284,298.7405543,123.0901927,96.67626436,134.8741352,86.211417,102.2108923,123.682887,1118340.699,3705.778854,2040.935291,1007.513767,2041.435291,1039.986233,4791063.302,4536.459792,2271.498951,2109.207799,11709.01367,1056.123833,506.4212353,14550,26.83292156,31.03752633,31.94163688,30.13341578,332.9502764,0.990145523,2226.548929,1592.310351,2227.048929,455.1896489,209425.5546,1512.318635,138.4797818,1015.745361,46.16497537,504.0377212,27.1070372,30.78750058,31.84215762,29.73284355,340.467025,0.992231801,2496.186518,773.929058,2496.686518,1273.570942,154758.0814,1505.575059,102.790014,859.5330811,34.11428483,508.0570058,27.78769241,30.66765105,32.10131514,29.23398697,337.571639,0.982679478,2985.594233,588.400683,2986.094233,1459.099317,242231.3769,1534.876663,157.8181379,1011.845093,53.39656649,509.5484621,28.60726176,32.84821978,33.54607993,32.15035964,340.5727591,0.997025635,2435.080428,157.1348785,2435.580428,1890.365121,136019.944,1506.486188,90.2895394,828.2606201,29.98372084,512.0893369,26.82019487,31.62631827,32.7626287,30.49000783,9.383925638,0.994254971,2740.432633,1584.664985,2740.932633,462.8350153,165261.7822,1506.522179,109.6975435,905.6230469,36.42968081,506.8116133,27.83147125,31.8855614,33.16088384,30.61023895,336.7181976,0.98650676,153.9708439,884.4577798,154.4708439,1163.04222,210643.9595,1511.283204,139.3808645,958.2072754,46.43355594,505.9643945,28.02719804,32.7985362,34.71449227,30.88258014,342.0860905,0.979376732,4536.459792,14556,4536.459792,14588,4536.459792,13815,4536.459792,14603,4536.459792,14562,4536.459792,14876
